# cup INT-group races 2022-2026 (exhibitions excluded, total_laps>0). Pulled from loop_data 2026-09-03.
# race_id|year|track|date|total_laps|cautions#start,finish,laps_led,fastest_laps;...
137|2022|Kansas Speedway|2022-09-11|267|9#6,1,58,17;25,2,0,12;4,3,12,17;3,4,107,34;12,5,24,22;9,6,9,7;5,7,0,1;7,8,0,7;17,9,2,8;15,10,8,20;22,11,0,3;8,12,0,3;13,13,0,2;11,14,3,0;10,15,0,1;23,16,1,0;2,17,2,9;28,18,0,0;27,19,0,2;21,20,0,0;36,21,3,6;29,22,0,2;32,23,0,0;31,24,0,0;26,25,0,3;20,26,0,5;30,27,0,0;33,28,0,0;24,29,0,0;35,30,0,15;34,31,0,0;18,32,0,0;19,33,0,0;16,34,0,0;1,35,38,17;14,36,0,0
139|2022|Texas Motor Speedway|2022-09-25|334|16#4,1,70,38;2,2,15,5;31,3,0,3;14,4,29,18;30,5,0,0;27,6,1,14;3,7,42,21;1,8,31,19;9,9,19,24;8,10,2,9;5,11,12,4;10,12,1,1;12,13,1,7;29,14,0,1;11,15,0,4;32,16,0,1;7,17,3,3;20,18,15,3;23,19,9,0;16,20,0,0;26,21,0,1;35,22,0,0;33,23,0,0;25,24,0,0;19,25,0,10;34,26,1,0;21,27,23,3;28,28,1,2;17,29,0,1;13,30,0,6;15,31,15,15;6,32,44,12;36,33,0,0;22,34,0,0;24,35,0,0;18,36,0,0
142|2022|Las Vegas Motor Speedway|2022-10-16|267|8#5,1,32,34;11,2,68,23;18,3,0,11;16,4,6,1;31,5,5,5;1,6,32,15;27,7,0,19;22,8,0,0;21,9,0,3;10,10,0,0;17,11,0,4;13,12,0,4;3,13,0,2;28,14,16,11;12,15,0,0;6,16,31,23;25,17,0,1;23,18,0,7;15,19,0,0;24,20,0,1;20,21,0,1;19,22,0,0;29,23,1,2;30,24,0,1;35,25,0,0;8,26,0,0;34,27,0,0;4,28,39,27;2,29,8,9;36,30,0,1;26,31,0,0;32,32,0,0;33,33,0,0;7,34,0,3;14,35,0,0;9,36,29,8
143|2022|Homestead-Miami Speedway|2022-10-23|267|5#5,1,199,109;20,2,0,6;10,3,0,9;32,4,0,1;9,5,0,2;12,6,28,22;14,7,4,5;16,8,0,1;11,9,0,1;23,10,0,8;2,11,4,2;1,12,32,17;8,13,0,0;3,14,0,2;27,15,0,0;18,16,0,0;13,17,0,5;17,18,0,3;26,19,0,0;21,20,0,0;28,21,0,0;6,22,0,0;31,23,0,0;25,24,0,0;24,25,0,0;30,26,0,0;4,27,0,13;15,28,0,17;33,29,0,0;22,30,0,0;29,31,0,0;34,32,0,0;35,33,0,0;36,34,0,4;7,35,0,3;19,36,0,0
75|2023|Auto Club Speedway|2023-02-26|200|8#21,1,27,23;33,2,1,6;8,3,91,22;7,4,0,9;10,5,5,11;13,6,11,10;16,7,2,8;4,8,17,4;28,9,3,1;3,10,19,12;14,11,0,1;2,12,0,2;5,13,0,1;12,14,0,1;24,15,0,1;23,16,0,1;25,17,0,0;26,18,6,0;34,19,0,0;31,20,0,3;29,21,0,0;20,22,1,0;22,23,0,0;30,24,0,0;32,25,0,2;9,26,16,11;11,27,0,0;19,28,0,0;15,29,0,22;18,30,0,2;36,31,0,0;1,32,1,0;27,33,0,0;35,34,0,0;17,35,0,0;6,36,0,0
76|2023|Las Vegas Motor Speedway|2023-03-05|271|4#2,1,176,59;6,2,63,40;11,3,2,28;13,4,0,9;10,5,0,5;9,6,0,1;15,7,3,6;27,8,0,6;14,9,0,1;24,10,0,7;12,11,10,11;8,12,0,6;3,13,0,7;5,14,0,2;34,15,3,6;21,16,0,1;7,17,5,4;23,18,0,1;22,19,0,1;19,20,0,0;18,21,0,9;4,22,0,5;31,23,0,0;16,24,0,2;17,25,0,11;35,26,0,2;26,27,0,0;20,28,0,0;32,29,0,0;25,30,0,6;28,31,0,2;36,32,0,0;29,33,0,0;33,34,0,1;30,35,0,0;1,36,9,1
85|2023|Kansas Speedway|2023-05-07|267|11#8,1,34,44;2,2,85,30;1,3,10,17;17,4,9,15;3,5,3,5;6,6,8,3;21,7,5,11;4,8,79,30;5,9,23,10;11,10,0,0;13,11,0,0;33,12,0,0;18,13,0,3;27,14,0,0;9,15,0,0;10,16,0,0;14,17,0,0;30,18,0,2;20,19,0,2;24,20,7,1;19,21,0,1;26,22,0,0;35,23,0,1;32,24,0,0;29,25,0,0;23,26,1,1;28,27,0,0;34,28,0,0;22,29,0,0;25,30,0,3;15,31,0,2;31,32,0,0;36,33,0,0;7,34,0,7;16,35,0,1;12,36,3,9
86|2023|Darlington Raceway|2023-05-14|295|8#4,1,7,22;20,2,5,8;21,3,0,1;10,4,0,6;2,5,3,15;14,6,0,2;12,7,0,9;22,8,0,0;11,9,4,18;27,10,0,0;24,11,0,2;8,12,9,10;3,13,0,0;16,14,0,6;32,15,0,1;13,16,0,1;31,17,0,0;15,18,0,3;25,19,0,1;7,20,29,20;17,21,0,0;9,22,0,1;30,23,0,1;34,24,0,3;28,25,0,3;29,26,0,4;33,27,0,0;26,28,0,0;5,29,93,31;23,30,0,0;1,31,145,65;35,32,0,1;19,33,0,1;6,34,0,3;18,35,0,0;36,36,0,0
87|2023|Charlotte Motor Speedway|2023-05-29|400|16#8,1,163,79;1,2,91,14;18,3,0,24;7,4,0,3;15,5,28,37;5,6,1,10;10,7,4,2;11,8,12,3;33,9,0,0;29,10,3,0;2,11,19,12;31,12,0,3;22,13,0,0;27,14,0,1;16,15,0,1;36,16,0,0;25,17,0,0;13,18,0,0;3,19,0,33;20,20,0,1;17,21,0,3;14,22,0,0;24,23,0,0;9,24,48,28;23,25,0,10;19,26,0,2;32,27,0,0;30,28,4,13;34,29,0,1;12,30,1,7;21,31,0,1;26,32,0,0;35,33,0,0;6,34,6,0;4,35,20,7;28,36,0,0;37,37,0,0
88|2023|Gateway|2023-06-04|243|11#1,1,121,67;3,2,0,33;6,3,0,0;22,4,5,2;5,5,0,6;2,6,83,32;13,7,0,0;7,8,30,18;21,9,0,0;4,10,0,2;17,11,0,1;27,12,0,0;10,13,0,0;11,14,0,0;28,15,0,0;23,16,0,0;29,17,0,0;31,18,0,0;24,19,0,0;15,20,0,0;30,21,0,0;8,22,0,2;14,23,0,0;36,24,0,0;33,25,0,0;18,26,0,0;34,27,0,0;19,28,0,0;35,29,0,0;20,30,0,0;16,31,0,0;12,32,0,0;32,33,0,0;25,34,0,1;9,35,4,0;26,36,0,0
90|2023|Nashville Superspeedway|2023-06-25|300|4#1,1,99,37;6,2,50,44;8,3,81,15;14,4,1,17;7,5,0,11;5,6,5,11;22,7,3,12;23,8,0,1;11,9,12,33;19,10,0,5;20,11,2,7;10,12,1,3;26,13,0,0;16,14,0,1;9,15,0,0;25,16,0,2;15,17,9,16;12,18,0,1;4,19,0,1;36,20,0,0;31,21,0,0;28,22,0,0;3,23,0,2;17,24,0,11;21,25,0,9;30,26,0,0;24,27,0,0;33,28,0,4;29,29,0,0;2,30,33,28;18,31,0,0;34,32,4,0;32,33,0,0;35,34,0,0;27,35,0,0;13,36,0,0
94|2023|Pocono Raceway|2023-07-23|160|11#8,1,9,11;7,2,15,6;2,3,20,20;4,4,0,2;11,5,4,5;5,6,0,1;22,7,0,0;26,8,0,0;24,9,0,4;35,10,0,4;10,11,0,3;27,12,0,0;21,13,0,2;1,14,60,17;36,15,0,0;13,16,0,0;16,17,0,1;18,18,0,1;15,19,0,0;3,20,24,8;25,21,0,2;32,22,0,0;9,23,0,0;20,24,0,7;31,25,0,0;28,26,0,0;12,27,5,0;33,28,0,0;29,29,0,0;14,30,2,6;34,31,0,0;30,32,0,0;19,33,0,1;23,34,0,3;6,35,21,2;17,36,0,0
96|2023|Michigan International Speedway|2023-08-07|200|9#4,1,52,14;5,2,47,42;13,3,1,10;12,4,15,18;17,5,2,4;14,6,12,7;2,7,16,4;22,8,0,0;9,9,1,3;25,10,0,3;3,11,1,8;20,12,0,2;1,13,1,5;6,14,0,0;31,15,0,0;18,16,0,2;29,17,0,0;11,18,21,5;15,19,2,0;34,20,2,0;27,21,0,0;28,22,0,0;26,23,0,0;23,24,0,0;33,25,0,0;24,26,0,0;36,27,0,0;30,28,0,0;32,29,0,0;16,30,7,14;21,31,0,0;37,32,1,0;19,33,19,5;35,34,0,0;7,35,0,1;10,36,0,0;8,37,0,0
100|2023|Darlington Raceway|2023-09-03|367|8#18,1,55,30;3,2,90,27;8,3,0,6;23,4,0,22;27,5,0,11;5,6,0,9;19,7,0,5;13,8,0,8;4,9,0,1;20,10,0,3;11,11,0,5;6,12,0,1;16,13,0,3;10,14,0,1;12,15,0,1;25,16,0,3;15,17,0,1;31,18,0,8;7,19,1,13;28,20,0,1;17,21,0,1;22,22,3,4;1,23,40,21;29,24,0,9;2,25,177,47;30,26,0,1;35,27,0,1;34,28,0,6;26,29,0,30;33,30,1,0;14,31,0,0;9,32,0,10;24,33,0,16;21,34,0,1;32,35,0,0;36,36,0,0
101|2023|Kansas Speedway|2023-09-10|268|9#5,1,2,21;14,2,63,31;19,3,0,9;2,4,99,50;11,5,0,1;4,6,47,12;35,7,0,1;1,8,15,10;12,9,23,11;23,10,0,0;20,11,0,5;17,12,0,3;6,13,0,1;36,14,0,0;9,15,0,1;15,16,12,3;25,17,3,3;28,18,0,0;26,19,0,0;21,20,0,1;30,21,0,0;24,22,0,1;16,23,0,0;27,24,0,0;32,25,0,2;7,26,0,7;13,27,0,1;33,28,0,0;34,29,0,0;22,30,0,10;18,31,0,0;10,32,3,29;8,33,0,0;31,34,1,0;29,35,0,0;3,36,0,0
103|2023|Texas Motor Speedway|2023-09-24|267|11#18,1,6,6;5,2,1,6;1,3,111,20;9,4,0,2;10,5,0,18;22,6,0,5;3,7,0,1;8,8,0,0;24,9,0,0;31,10,0,2;29,11,1,0;14,12,1,1;28,13,0,3;2,14,2,6;17,15,0,2;19,16,0,2;16,17,0,3;21,18,0,3;26,19,3,0;30,20,0,0;20,21,0,0;34,22,0,0;25,23,0,1;33,24,0,1;15,25,36,16;27,26,0,0;32,27,1,0;23,28,0,0;6,29,1,0;12,30,3,12;11,31,99,85;35,32,2,0;4,33,0,2;7,34,0,1;36,35,0,0;13,36,0,0
