# cup INT-group races 2022-2026 (exhibitions excluded, total_laps>0). Pulled from loop_data 2026-09-03.
# race_id|year|track|date|total_laps|cautions#start,finish,laps_led,fastest_laps;...
61|2024|Michigan International Speedway|2024-08-18|206|7#2,1,15,25;9,2,20,7;19,3,2,17;13,4,24,1;15,5,2,7;18,6,0,14;27,7,0,1;12,8,7,0;1,9,0,8;11,10,3,0;26,11,0,0;25,12,0,0;30,13,2,0;34,14,5,0;6,15,29,11;28,16,0,0;10,17,0,0;8,18,15,2;17,19,0,0;29,20,0,5;36,21,0,0;16,22,4,0;32,23,0,0;24,24,28,26;7,25,4,2;5,26,5,14;22,27,0,2;23,28,0,0;33,29,0,0;35,30,0,2;21,31,0,0;31,32,0,0;14,33,0,1;4,34,41,6;3,35,0,6;20,36,0,0
63|2024|Darlington Raceway|2024-09-01|367|7#3,1,29,29;17,2,0,15;9,3,1,12;4,4,263,40;22,5,3,6;10,6,0,2;14,7,21,47;23,8,0,0;19,9,0,3;6,10,1,9;20,11,0,5;30,12,0,1;11,13,0,0;12,14,0,2;16,15,0,2;1,16,37,5;33,17,0,5;32,18,0,1;27,19,0,1;13,20,1,5;24,21,0,4;36,22,0,2;26,23,0,1;28,24,0,17;18,25,0,6;34,26,4,10;21,27,0,22;31,28,0,27;25,29,0,9;8,30,2,7;15,31,5,16;29,32,0,1;2,33,0,5;35,34,0,2;37,35,0,0;5,36,0,0;7,37,0,0
67|2024|Kansas Speedway|2024-09-29|267|10#20,1,52,12;6,2,24,25;19,3,5,14;7,4,3,23;2,5,5,10;12,6,6,8;1,7,122,31;8,8,1,10;38,9,0,0;15,10,3,1;25,11,0,2;22,12,0,0;10,13,0,0;5,14,3,8;27,15,0,0;37,16,0,7;13,17,0,2;24,18,0,1;3,19,26,15;30,20,0,0;32,21,0,0;26,22,4,3;28,23,0,3;9,24,0,0;4,25,7,10;11,26,0,2;33,27,0,1;18,28,0,0;21,29,0,0;31,30,0,0;34,31,0,0;14,32,5,2;23,33,0,0;17,34,0,6;16,35,0,13;35,36,0,0;36,37,1,0;29,38,0,0
70|2024|Las Vegas Motor Speedway|2024-10-20|267|5#10,1,6,4;1,2,155,72;23,3,57,2;9,4,1,20;3,5,0,17;12,6,7,9;7,7,0,8;4,8,4,4;26,9,0,0;22,10,0,5;5,11,1,15;19,12,0,5;20,13,0,0;35,14,0,0;31,15,0,1;14,16,0,0;16,17,0,2;21,18,0,2;33,19,0,0;15,20,0,1;36,21,0,0;32,22,0,11;6,23,0,1;28,24,0,0;27,25,0,0;24,26,0,5;25,27,0,0;29,28,0,0;34,29,0,0;8,30,23,14;30,31,0,0;37,32,4,9;18,33,0,1;11,34,0,1;2,35,9,19;17,36,0,1;13,37,0,0
71|2024|Homestead-Miami Speedway|2024-10-27|267|6#1,1,97,35;20,2,47,24;4,3,21,17;3,4,3,12;7,5,81,29;25,6,0,5;11,7,0,6;32,8,0,9;15,9,0,7;35,10,0,0;12,11,0,2;13,12,0,4;2,13,1,11;24,14,0,4;21,15,0,4;23,16,0,0;18,17,8,5;8,18,2,11;16,19,0,8;31,20,1,2;5,21,0,0;28,22,0,1;6,23,0,13;34,24,0,0;30,25,0,1;29,26,0,1;36,27,0,1;26,28,0,0;9,29,0,0;19,30,0,3;17,31,5,0;27,32,0,0;22,33,0,1;10,34,1,6;33,35,0,0;14,36,0,7;38,37,0,0;37,38,0,0
6|2025|Las Vegas Motor Speedway|2025-03-16|267|9#7,1,18,18;23,2,12,10;12,3,0,1;8,4,10,18;19,5,14,2;3,6,47,20;6,7,2,15;18,8,0,4;10,9,61,40;16,10,0,4;27,11,0,0;13,12,0,4;11,13,0,6;33,14,0,2;2,15,40,16;1,16,5,0;24,17,0,0;31,18,0,2;34,19,0,1;30,20,0,1;17,21,0,0;29,22,0,1;9,23,0,0;14,24,34,23;15,25,0,4;26,26,0,0;5,27,1,0;20,28,20,8;32,29,0,0;25,30,0,1;21,31,0,0;22,32,0,1;4,33,3,0;28,34,0,0;36,35,0,2;35,36,0,0
7|2025|Homestead-Miami Speedway|2025-03-23|267|4#14,1,19,27;1,2,43,16;9,3,56,8;4,4,0,6;23,5,15,6;11,6,0,10;10,7,0,0;20,8,0,9;31,9,0,1;21,10,0,0;17,11,3,4;5,12,1,3;30,13,0,2;12,14,0,6;28,15,0,1;3,16,0,0;2,17,2,4;18,18,0,2;8,19,0,5;26,20,0,1;22,21,0,0;33,22,0,1;7,23,0,0;27,24,0,6;13,25,0,0;32,26,0,1;34,27,0,5;24,28,0,0;16,29,0,29;29,30,0,5;25,31,0,1;35,32,0,1;19,33,0,13;36,34,0,2;37,35,0,0;6,36,124,54;15,37,4,5
9|2025|Darlington Raceway|2025-04-06|297|8#3,1,10,7;1,2,243,86;17,3,0,4;7,4,42,22;9,5,2,50;14,6,0,7;25,7,0,1;15,8,0,3;11,9,0,2;8,10,0,0;6,11,0,0;16,12,0,2;18,13,0,2;12,14,0,1;30,15,0,5;29,16,0,0;34,17,0,0;22,18,0,0;26,19,0,0;36,20,0,0;5,21,0,3;31,22,0,0;23,23,0,4;21,24,0,2;28,25,0,0;2,26,0,7;35,27,0,0;4,28,0,0;10,29,0,4;27,30,0,0;37,31,0,11;13,32,0,1;20,33,0,4;32,34,0,1;33,35,0,5;24,36,0,3;19,37,0,4;38,38,0,0
11|2025|Texas Motor Speedway|2025-05-04|271|12#27,1,7,4;31,2,0,1;24,3,2,14;4,4,90,21;14,5,0,1;34,6,0,0;19,7,0,0;28,8,1,0;16,9,0,1;25,10,0,0;32,11,4,0;23,12,0,1;2,13,22,11;21,14,0,0;15,15,0,6;29,16,0,2;13,17,0,0;12,18,0,24;20,19,0,0;26,20,0,2;17,21,1,35;37,22,0,0;6,23,0,3;1,24,22,18;3,25,60,7;5,26,19,7;22,27,0,2;30,28,0,1;33,29,0,0;36,30,0,0;35,31,0,0;7,32,41,15;9,33,0,1;18,34,0,0;11,35,1,6;10,36,0,0;38,37,0,0;8,38,1,1
12|2025|Kansas Speedway|2025-05-11|267|7#1,1,221,66;3,2,3,13;10,3,0,8;19,4,0,8;21,5,2,8;38,6,0,12;30,7,0,2;2,8,0,1;5,9,1,0;17,10,0,0;13,11,0,0;23,12,0,2;28,13,0,4;24,14,0,1;9,15,29,11;18,16,0,1;4,17,0,2;26,18,0,1;27,19,0,2;34,20,0,1;35,21,1,1;20,22,0,0;11,23,0,4;7,24,0,18;31,25,0,11;22,26,4,6;25,27,0,1;6,28,0,6;32,29,0,0;37,30,0,0;12,31,0,2;16,32,0,0;15,33,0,2;8,34,0,1;29,35,4,0;14,36,2,18;36,37,0,8;33,38,0,0
13|2025|Charlotte Motor Speedway|2025-05-25|400|8#40,1,8,5;3,2,283,70;1,3,1,10;5,4,0,12;35,5,5,10;22,6,2,16;15,7,0,8;10,8,5,20;28,9,0,6;8,10,0,2;11,11,0,0;18,12,0,2;27,13,0,2;30,14,0,3;24,15,0,1;20,16,53,37;16,17,0,0;34,18,0,6;19,19,0,2;26,20,0,7;29,21,0,1;4,22,0,5;33,23,0,0;7,24,6,20;36,25,0,1;12,26,1,34;6,27,0,2;31,28,0,3;9,29,0,12;13,30,0,2;14,31,0,8;37,32,0,0;38,33,0,0;39,34,2,11;32,35,0,0;25,36,0,0;2,37,34,20;21,38,0,0;23,39,0,0;17,40,0,0
14|2025|Nashville Superspeedway|2025-06-01|300|7#15,1,139,57;26,2,0,9;2,3,79,47;9,4,10,3;3,5,1,13;12,6,0,7;14,7,0,5;28,8,0,3;4,9,7,20;7,10,0,8;5,11,0,1;25,12,0,2;27,13,0,3;10,14,0,4;11,15,0,0;32,16,0,1;1,17,51,26;16,18,2,14;29,19,0,1;17,20,0,2;8,21,0,0;35,22,0,1;6,23,3,1;37,24,0,1;23,25,0,0;31,26,0,0;36,27,0,1;19,28,0,0;21,29,8,0;20,30,0,2;22,31,0,15;18,32,0,1;34,33,0,3;38,34,0,0;39,35,0,0;24,36,0,2;33,37,0,3;30,38,0,0;13,39,0,0
15|2025|Michigan International Speedway|2025-06-08|200|7#3,1,5,22;6,2,13,13;8,3,0,3;9,4,0,13;5,5,0,2;20,6,0,2;10,7,2,0;2,8,0,2;23,9,0,3;27,10,0,3;22,11,0,2;7,12,0,4;12,13,0,9;35,14,0,2;17,15,19,9;25,16,2,12;19,17,0,0;26,18,0,0;28,19,0,1;30,20,0,0;31,21,0,0;15,22,0,0;1,23,11,3;18,24,0,0;34,25,0,0;36,26,1,0;29,27,0,0;4,28,98,24;14,29,32,17;32,30,0,0;11,31,10,8;13,32,7,5;33,33,0,0;21,34,0,0;24,35,0,0;16,36,0,0
17|2025|Pocono Raceway|2025-06-22|160|7#6,1,72,17;1,2,32,21;20,3,3,2;2,4,2,19;18,5,0,5;4,6,0,0;24,7,0,4;13,8,0,1;14,9,27,12;19,10,0,1;25,11,15,3;35,12,0,3;11,13,0,0;7,14,0,0;10,15,0,0;12,16,5,3;9,17,0,0;3,18,2,4;22,19,0,1;26,20,0,0;33,21,0,0;5,22,0,0;17,23,0,0;16,24,0,0;15,25,0,0;21,26,0,0;31,27,0,0;32,28,0,0;36,29,0,0;30,30,2,1;23,31,0,0;8,32,0,22;27,33,0,1;37,34,0,0;28,35,0,0;34,36,0,0;29,37,0,0
27|2025|Darlington Raceway|2025-08-31|367|7#2,1,309,67;4,2,3,17;19,3,0,9;30,4,15,13;22,5,0,1;8,6,10,18;1,7,12,14;23,8,0,2;26,9,0,6;15,10,0,1;6,11,3,3;10,12,0,1;24,13,0,0;34,14,0,2;32,15,0,11;27,16,0,1;21,17,8,5;12,18,0,3;5,19,2,6;14,20,0,0;11,21,0,1;16,22,0,3;9,23,0,0;18,24,0,7;17,25,0,3;28,26,0,5;13,27,0,0;33,28,0,3;7,29,2,18;35,30,0,13;29,31,0,21;20,32,3,18;25,33,0,23;31,34,0,21;38,35,0,0;37,36,0,2;36,37,0,0;3,38,0,3
28|2025|Gateway|2025-09-07|240|10#1,1,75,36;3,2,15,11;19,3,4,5;5,4,5,8;13,5,2,9;20,6,0,0;8,7,0,27;14,8,73,15;11,9,0,5;21,10,1,3;6,11,0,0;2,12,52,50;32,13,0,0;28,14,0,0;27,15,0,0;7,16,0,1;23,17,13,1;15,18,0,0;9,19,0,0;34,20,0,0;16,21,0,0;22,22,0,0;17,23,0,0;4,24,0,4;18,25,0,1;25,26,0,0;29,27,0,0;31,28,0,0;36,29,0,0;24,30,0,0;33,31,0,0;30,32,0,0;10,33,0,0;35,34,0,0;26,35,0,0;12,36,0,0
31|2025|Kansas Speedway|2025-09-28|273|9#4,1,24,13;2,2,159,60;5,3,43,41;1,4,19,11;7,5,13,11;3,6,1,24;12,7,0,9;31,8,5,0;11,9,0,0;24,10,0,1;9,11,0,1;23,12,0,0;33,13,0,0;21,14,0,0;15,15,0,14;10,16,0,2;30,17,6,6;22,18,0,0;29,19,0,1;27,20,0,0;35,21,0,1;32,22,0,0;14,23,0,0;37,24,1,2;8,25,0,2;19,26,0,0;16,27,0,0;17,28,0,0;6,29,0,1;26,30,0,1;28,31,0,3;25,32,1,0;13,33,1,9;36,34,0,0;18,35,0,1;20,36,0,1;34,37,0,0
33|2025|Las Vegas Motor Speedway|2025-10-12|267|5#1,1,9,25;6,2,129,35;3,3,0,17;2,4,57,19;8,5,1,13;9,6,1,2;12,7,0,10;32,8,0,0;16,9,0,5;34,10,2,2;31,11,0,0;11,12,0,1;28,13,0,2;24,14,0,2;19,15,0,0;18,16,0,0;33,17,0,0;4,18,0,11;20,19,0,0;17,20,0,0;30,21,1,0;7,22,5,25;15,23,0,5;23,24,0,0;25,25,0,1;29,26,0,2;27,27,0,5;21,28,1,0;26,29,0,3;37,30,0,0;38,31,0,0;22,32,6,14;13,33,0,0;10,34,0,5;36,35,0,0;5,36,55,20;35,37,0,4;14,38,0,1
343|2026|Las Vegas Motor Speedway|2026-03-15|267|3#2,1,134,47;15,2,0,15;9,3,26,17;1,4,31,27;3,5,0,7;10,6,0,2;5,7,62,12;18,8,0,14;4,9,0,4;28,10,4,1;8,11,0,7;11,12,0,1;7,13,0,7;12,14,0,0;21,15,3,1;6,16,5,4;17,17,0,4;13,18,0,1;31,19,0,0;14,20,0,0;26,21,0,0;19,22,1,16;20,23,0,0;29,24,0,0;22,25,0,37;30,26,0,5;35,27,1,0;24,28,0,0;23,29,0,0;34,30,0,6;32,31,0,2;25,32,0,0;36,33,0,0;27,34,0,0;33,35,0,6;16,36,0,0
344|2026|Darlington Raceway|2026-03-22|293|4#1,1,77,80;5,2,142,40;7,3,0,10;16,4,2,8;12,5,0,5;28,6,1,1;11,7,0,4;13,8,0,8;6,9,41,12;24,10,0,0;9,11,0,10;23,12,4,9;17,13,0,1;33,14,0,0;3,15,6,4;25,16,0,0;26,17,0,0;32,18,0,1;22,19,0,3;20,20,0,3;8,21,0,1;19,22,0,4;31,23,0,2;15,24,0,0;10,25,0,0;30,26,0,2;21,27,0,4;35,28,0,3;18,29,0,0;27,30,0,29;36,31,0,1;4,32,20,11;29,33,0,0;2,34,0,3;14,35,0,3;34,36,0,0;37,37,0,0
347|2026|Kansas Speedway|2026-04-19|274|3#1,1,10,22;4,2,78,23;5,3,0,4;2,4,131,35;10,5,0,7;21,6,0,3;14,7,0,0;13,8,0,9;3,9,0,4;7,10,1,4;12,11,0,1;34,12,0,0;6,13,6,20;22,14,0,2;24,15,0,4;20,16,0,1;26,17,0,4;33,18,0,2;8,19,1,0;11,20,47,14;16,21,0,0;32,22,0,1;19,23,0,0;9,24,0,1;29,25,0,18;31,26,0,17;30,27,0,4;28,28,0,0;36,29,0,0;15,30,0,0;27,31,0,23;25,32,0,12;37,33,0,3;18,34,0,3;23,35,0,1;17,36,0,0;35,37,0,8
349|2026|Texas Motor Speedway|2026-05-03|267|7#14,1,87,36;4,2,21,29;9,3,0,3;8,4,0,19;3,5,0,8;2,6,0,3;1,7,40,23;15,8,0,0;37,9,0,0;31,10,5,11;18,11,1,3;21,12,13,2;25,13,4,0;20,14,0,0;13,15,0,0;12,16,0,0;30,17,0,0;38,18,0,0;22,19,0,2;6,20,0,2;33,21,0,0;34,22,0,3;5,23,4,15;35,24,0,0;26,25,0,0;16,26,0,0;19,27,0,2;28,28,0,1;24,29,0,0;29,30,0,0;17,31,69,26;32,32,0,0;36,33,0,0;11,34,0,0;27,35,0,0;10,36,1,16;23,37,0,4;7,38,22,11
351|2026|Charlotte Motor Speedway|2026-05-24|373|12#14,1,17,24;17,2,44,44;11,3,75,36;1,4,119,37;18,5,14,10;2,6,17,30;6,7,0,6;33,8,0,1;31,9,0,2;19,10,31,6;3,11,11,7;32,12,0,2;21,13,0,2;4,14,3,4;26,15,0,15;22,16,0,0;29,17,0,0;10,18,0,0;39,19,0,0;20,20,0,0;30,21,0,0;24,22,0,6;23,23,4,9;28,24,0,0;35,25,0,1;15,26,0,0;13,27,0,4;38,28,0,1;34,29,0,0;7,30,0,5;37,31,0,0;9,32,0,8;12,33,1,1;5,34,34,25;27,35,3,0;36,36,0,0;16,37,0,0;8,38,0,0;25,39,0,0
352|2026|Nashville Superspeedway|2026-05-31|300|11#1,1,57,19;4,2,29,61;31,3,14,23;15,4,0,0;10,5,12,2;2,6,42,23;29,7,3,10;7,8,46,21;11,9,18,2;17,10,0,0;13,11,3,2;30,12,0,0;6,13,1,10;9,14,1,0;14,15,0,2;26,16,0,0;23,17,1,0;32,18,0,0;3,19,10,0;21,20,0,0;20,21,0,0;34,22,0,0;5,23,56,27;27,24,0,0;24,25,0,5;36,26,0,0;25,27,0,2;37,28,0,0;22,29,0,0;8,30,0,2;33,31,0,0;18,32,0,0;19,33,0,0;12,34,0,0;16,35,7,0;28,36,0,0;35,37,0,0;38,38,0,0
353|2026|Michigan International Speedway|2026-06-07|200|11#1,1,40,33;10,2,0,5;13,3,9,12;7,4,4,5;2,5,21,8;11,6,10,4;18,7,0,1;19,8,0,0;14,9,0,1;5,10,0,0;31,11,0,0;15,12,0,0;12,13,0,8;17,14,0,1;37,15,0,2;32,16,1,0;25,17,0,0;9,18,7,12;29,19,0,0;28,20,0,0;36,21,2,0;35,22,0,0;33,23,0,0;24,24,0,0;4,25,6,7;20,26,0,0;22,27,0,0;27,28,0,0;23,29,0,0;30,30,0,0;8,31,0,4;6,32,67,16;16,33,0,6;26,34,0,0;3,35,33,9;21,36,0,0;34,37,0,0
372|2026|Pocono Raceway|2026-06-14|160|5#1,1,28,26;16,2,24,19;9,3,0,8;8,4,42,9;2,5,24,11;7,6,1,11;6,7,0,5;24,8,0,4;4,9,0,5;10,10,3,5;23,11,9,1;5,12,4,7;3,13,0,1;17,14,1,0;21,15,0,1;25,16,0,0;13,17,0,2;14,18,0,0;29,19,6,0;26,20,0,4;38,21,0,0;19,22,0,1;28,23,0,3;15,24,0,3;32,25,0,2;22,26,18,0;12,27,0,1;35,28,0,0;34,29,0,0;33,30,0,0;31,31,0,1;27,32,0,0;20,33,0,1;11,34,0,0;30,35,0,0;36,36,0,0;18,37,0,0;37,38,0,0
